id	name	year	country	genres	rating	voters	time	description	director	actors
280532	27 свадеб	2008	США	мелодрама;комедия	6.936	31116	106	Побывав в качестве подружки невесты на 27 свадьбах, главная героиня вдруг понимает, что пора бы остановиться и задуматься уже и о собственном замужестве, но напоследок отгулять свадьбу своей сестры. Однако, выясняется, что та собралась замуж за человека, на которого «профессиональная свидетельница» как раз только успела положить глаз. Назревает конфликт...	Энн Флетчер	Кэтрин Хайгл;Джеймс Марсден;Эдвард Бёрнс;Малин Акерман;Джуди Грир;Брайан Кервин;Чарли Барсена;Пейтон Лист;Джейн Фитщ;Дженнифер Лим
6151	Четыре свадьбы и одни похороны	1993	Великобритания	драма;мелодрама;комедия	7.123	12246	117	Чарльз, 32-летний англичанин-интеллектуал, очень напрягается каждый раз, когда на горизонте вырисовывается перспектива женитьбы. Однажды, на очередной свадебной церемонии своего друга, он знакомится с очаровательной американкой Кэрри, и тут его оборонительная стратегия дает роковую трещину.	Майк Ньюэлл	Энди МакДауэлл;Хью Грант;Джеймс Флит;Саймон Кэллоу;Джон Ханна;Кристин Скотт Томас;Дэвид Бауэр;Шарлотта Коулман;Тимоти Уолкер;Сара Кроу
4300	Американский пирог 3: Свадьба	2003	США;Германия	мелодрама;комедия	7.061	37831	99	Джим и Мишель решили пожениться! Ведь свадьба  штука важная, и готовиться к ней надо основательно и серьёзно, тем более, если шафером у жениха собирается стать сам Стифлер! В обширную предсвадебную программу включены: холостяцкая вечеринка со стриптизёршами; соблазнение женщин преклонного возраста в кромешной тьме; украшение свадебного торта лобковыми волосами; очередное сексуальное родео Финча с мамашей Стифлера, как, впрочем, и сам Стифлер  новоявленная гей-икона, прирождённый танцор-диско, тестостероновый титан и главная звезда торжества! Джим и Мишель приглашают Вас на свою свадьбу, скучать на которой Вам точно не придётся!	Джесси Дилан	Джейсон Биггз;Шонн Уильям Скотт;Элисон Хэннигэн;Эдди Кэй Томас;Томас Иэн Николас;Дженьюэри Джонс;Юджин Леви;Молли Чик;Дебора Раш;Фред Уиллард
2768	Свадьба лучшего друга	1997	США	мелодрама;комедия	7.306	26407	105	9 лет назад Джулианна Поттер и Майкл О`Нил заключили соглашение: если до 28 лет они не влюбятся, то поженятся между собой. Лучшие друзья еще со студенческих времен, они почти позабыли о своем юношеском договоре. И теперь, в 28 лет, Майкл снова поднял вопрос о свадьбе, но... уже с другой. Джулианна никогда не знала, что же ей действительно нужно, пока не почувствовала, что это «что-то» уходит из ее жизни.И теперь у нее есть только четыре дня и собственная смекалка, чтобы вернуть Майкла себе.	П.Дж. Хоган	Джулия Робертс;Дермот Малруни;Кэмерон Диаз;Руперт Эверетт;Филип Боско;М. Эммет Уолш;Рэйчел Гриффитс;Кэрри Престон;Сьюзэн Салливан;Кристофер Мастерсон
4544	Сабрина	1995	Германия;США	драма;комедия	7.469	6412	127	В семье Лэраби предстоит важное событие  свадьба младшего брата. Приданное невесты позволит братьям стать монополистами на рынке коммуникаций. Но все эти планы рушатся, когда из Парижа возвращается красавица Сабрина  дочь шофера семьи, ставшая супермоделью.	Сидни Поллак	Харрисон Форд;Джулия Ормонд;Грег Киннер;Нэнси Марчанд;Джон Вуд;Фанни Ардан;Ричард Кренна;Энджи Дикинсон;Лорен Холли;Дэна Айви
62652	Непохищенная невеста	1995	Индия	мюзикл;драма;мелодрама;комедия	8.448	2982	181	Двадцать лет тому назад Балдев Синг эмигрирует в Англию и оседает в Лондоне вместе с семьёй. Но даже после столь продолжительного проживания на чужбине он сохраняет приверженность национальным традициям и планирует выдать замуж старшую дочь Симран за сына старого друга, живущего в Пенджабе. Незадолго перед помолвкой Симран знакомится с весельчаком и балагуром Раджом.Симран очень симпатичен Радж, но она далеко не сразу осознаёт, что под маской беззаботности скрывается преданная и любящая её душа. Когда молодые люди наконец-то понимают, что любят друг друга, уже поздно, приготовления к помолвке невозможно остановить. Единственная возможность избежать непоправимого  бежать, но Радж убежден, что им в жизни не будет счастья без благословения родителей Симран...	Адитья Чопра	Шах Рукх Кхан;Каджол;Амриш Пури;Фарида Джалал;Анупам Кхер;Сатиш Шах;Ачала Сачдев;Химани Шивпури;Пуджа Рупарел;Дамьянти Пури
401775	Люблю тебя, чувак	2009	США	мелодрама;комедия	7.016	28982	105	Успешный риэлтор Питер Клэйвен наконец-то сделал предложение женщине своей мечты и тут же столкнулся с неожиданной проблемой. У него нет лучшего друга, которому можно поручить важную миссию шафера на свадьбе. После череды специфических свиданий Питер наконец-то нашёл подходящего человека, полную себе противоположность, Сиднея. Да вот только благодаря новому другу Питер понял, что жил не правильно и по-настоящему не умел веселиться... и, похоже, передумал жениться.	Джон Гамбург	Пол Радд;Джейсон Сигел;Рашида Джонс;Энди Сэмберг;Дж.К. Симмонс;Джейн Куртин;Джон Фавро;Джейми Прессли;Азиз Ансари;Лу Ферриньо
87819	Порочные связи	2005	Великобритания;США	драма;мелодрама;комедия	6.970	4910	84	Двое людей встретились на свадьбе  мужчина и женщина. Ни один из них не свободен. Но почему же так тянет друг к другу? Шаг за шагом приоткрывается завеса тайны. Так ли уж случайна эта встреча? И что их связывало в прошлом?	Ганс Каноза	Аарон Экхарт;Хелена Бонем Картер;Юрий Цыкин;Брайан Джерати;Брианна Браун;Томас Леннон;Эрик Эйдем;Нора Зеетнер;Дэвид Франклин;Оливия Уайлд
17053	Первый рыцарь	1995	США	боевик;триллер;мелодрама;приключения	7.156	13414	134	Ланселот, воин без страха и упрека, прибыл в золотой замок Камелот, чтобы служить великому королю Артуру. Им предстоят грозные сражения, доблесть и слава.Но в Камелоте он находит женщину, без которой не может жить, но которой не в силах обладать  прекрасную Гуиневеру Лионесскую. Она  возлюбленная короля Артура, который защищает ее маленькое королевство от войск черного рыцаря Малаганта.И Первый Рыцарь Ланселот должен сделать выбор  служить своему королю, или предать его во имя любимой...	Джерри Цукер	Шон Коннери;Ричард Гир;Джулия Ормонд;Бен Кросс;Лиам Каннингэм;Кристофер Вилльерс;Валентин Пелка;Колин МакКормэк;Ралф Айнесон;Джон Гилгуд
252130	Чак и Ларри: Пожарная свадьба	2007	США	мелодрама;комедия	6.829	33083	111	Два холостых филадельфийских пожарных вляпываются в историю с самыми лучшими намерениями. Вдовец Ларри хочет лишь одного  защитить свою семью. Его приятель Чак также хочет одного  наслаждаться жизнью холостяка. Чак благодарен Ларри за то, что тот вынес его из огня. А Ларри хочет застраховать свою жизнь так, чтобы страховку получили его дети. Для этого нужно только одно: записать в анкете, например, Чака своей половиной. Об этом вообще никто не должен был знать, так, формальность. И тогда они, гордость своей пожарной команды и верные друзья, решают изобразить из себя гомосексуальную пару, чтобы получить социальные льготы, предназначенные для семейных. Но когда местный придирчивый чиновник начинает выяснение деталей, «заговор» становится из конфиденциального вопросом номер один для города, попадая на первые страницы газет. Вынужденные изображать из себя влюбленную пару, Чак и Ларри должны теперь пробираться через каскад нелепых и смешных ситуаций.	Деннис Дуган	Адам Сэндлер;Кевин Джеймс;Джессика Бил;Дэн Эйкройд;Винг Реймз;Стив Бушеми;Ник Свардсон;Николас Туртурро;Ричард Чемберлен;Мэри Пэт Глисон
38198	Черная кошка, белый кот	1998	Югославия (ФР);Франция;Германия;Австрия;Греция	мелодрама;комедия;криминал	7.981	25017	135	Два цыганских барона, сколотившие свои состояния на темных делишках, тем не менее умудрились сохранить взаимное уважение и искреннюю дружбу, хотя и не виделись 25 лет. И теперь, разменяв девятый десяток, им приходится расхлебывать кашу, которую заварили их многочисленные потомки.Миллионные сделки с мафией, погони за убежавшими невестами, безумные цыганские праздники и дерзкие ограбления, пламенная любовь и хладнокровный обман  все это снова вовлекает их в стремительный круговорот жизни. Такая сумасшедшая гонка и мертвого может поднять из могилы...	Эмир Кустурица	Байрам Севердзан;Срджан Тодорович;Бранка Катич;Флориян Айдини;Любица Аджович;Забит Мемедов;Сабри Сулеймани;Ясар Дестани;Стоян Сотиров;Предраг Лакович
6144	Реальная любовь	2003	Великобритания;США;Франция	драма;мелодрама;комедия	7.931	111416	129	Любовь незабываемая и недосягаемая, вызывающая сожаление и экстатическая, неожиданная и нежеланная, неудобная и необъяснимая, неизящная и неравная. Любовь поистине правит всеми вокруг. От премьер-министра, мгновенно влюбившегося в сотрудницу своего аппарата,  до писателя, сбежавшего на юг Франции, чтобы склеить свое разбитое сердце...	Ричард Кёртис	Хью Грант;Билл Найи;Лиам Нисон;Эмма Томпсон;Колин Фёрт;Алан Рикман;Мартина МакКачон;Кира Найтли;Крис Маршалл;Лора Линни
470170	Девичник в Вегасе	2011	США	мелодрама;комедия	5.579	25980	125	У Энни в личной жизни полный бардак, и ей совсем не до веселья. Но девушке придется забыть о своих проблемах: ведь вскоре ей предстоит отправиться на девичник к лучшей подруге. Девочки оторвутся так, как мальчикам и не снилось...	Пол Фиг	Кристен Уиг;Майя Рудольф;Роуз Бирн;Венди МакЛендон-Кови;Элли Кемпер;Мелисса МакКарти;Крис О’Дауд;Джон Хэмм;Джилл Клейбёрг;Мэтт Лукас
391170	Последний шанс Харви	2008	США	драма;мелодрама	6.973	1883	93	Харви одинок и уже немолод. Он живет в Нью-Йорке, зарабатывая на жизнь сочинением рекламных джинглов. Но однажды его размеренной и скучной жизни приходит конец. Прилетев в Лондон на свадьбу своей дочери, Харви неожиданно узнает, что на торжественной церемонии в качестве отца невесты выступит не он, а ее отчим. Расстроенный и обиженный. Харви опаздывает на свой самолет в Нью-Йорк. В баре аэропорта он встречает обаятельную женщину по имени Кейт, с которой его связывает очень многое  несмотря на то, что они даже не знакомы. Это последний шанс Харви...	Джоэл Хопкинс	Дастин Хоффман;Эмма Томпсон;Айлин Эткинс;Кэти Бейкер;Лиэн Балабан;Джеймс Бролин;Ричард Шифф;Дэниэл Лапэйн;Брона Галлахер;Майкл Лэндис
2522	Вход и выход	1997	США	комедия	6.916	1928	90	Накануне свадьбы скромного преподавателя литературы в провинциальном городке его выпускник, ныне голливудская кинозвезда, на церемонии вручения премии «Оскар» в порыве чувств на весь мир произносит слова благодарности своему «голубому» другу учителю.Маленький городок в шоке. Казалось бы, жизнь и карьера героя разбиты... Но тут на помощь приходит тот самый оскаровский лауреат... Невероятные события сотрясают тихий городишко...	Фрэнк Оз	Кевин Клайн;Джоан Кьюсак;Том Селлек;Мэтт Диллон;Дебби Рейнолдс;Уилфорд Бримли;Боб Ньюхарт;Грегори Джбара;Шалом Харлоу;Шон Хэтоси
26821	Брак по-итальянски	1964	Италия;Франция	драма;мелодрама;комедия	8.048	6980	102	Нелегкая судьба Филумены Мартурано, героини одноименной пьесы Эдуардо де Филиппо, была близка всем советским женщинам. Ну а жизненным проблемам и устремлениям Доменико сочувствовали все мужчины. Нужда приводит юную Филумену в публичный дом, где она и знакомится с любвеобильным красавцем Доменико.Спустя годы они встречаются вновь и она становится хозяйкой в его доме, но несмотря на их многолетнюю связь, он постоянно отказывается официально оформить их отношения. И вот наступил критический момент  убежденный холостяк Доменико решает жениться... на одной из своих многочисленных пассий. У любящей его Филумены остается последнее средство...	Витторио Де Сика	Софи Лорен;Марчелло Мастроянни;Альдо Пульизи;Текла Скарано;Марилу Толо;Джанни Ридольфи;Дженеросо Кортини;Вито Мориконе;Рита Пиччоне;Лино Маттера
17836	Точки над I	2002	Великобритания;Испания;США	триллер;драма;мелодрама	7.667	12308	92	Кармен недавно пережила в Испании страстный и мучительный роман, но теперь обрела покой и уверенность со своим женихом Барнаби, который просто обожает ее. Кармен уверена, что этот брак даст ей ту стабильность, о которой она страстно мечтает.Накануне своей свадьбы Кармен легкомысленно дарит поцелуй привлекательному незнакомцу по имени Кит, и этот единственный поцелуй неожиданно поднимает в ней утихшие страсти.	Мэттью Паркхилл	Гаэль Гарсиа Берналь;Наталия Вербеке;Джеймс Д’Арси;Том Харди;Чарли Кокс;Ив Обер;Мифануи Уоринг;Майкл Веббер;Джонатан Кидд;Майкл Элвин
1803	Певец на свадьбе	1998	США	мелодрама;комедия	6.924	8871	93	Во время свадебного торжества солист оркестра Робби Харт знакомится с начинающей официанткой Джулией. Выясняется, что каждый из них готовится к собственной свадьбе.Однако, волею случая женитьба Робби расстраивается, а Джулия просит его помощь в организации своей свадьбы. И еще она просит Робби научить ее правильно целоваться...	Фрэнк Корачи	Адам Сэндлер;Дрю Бэрримор;Кристин Тейлор;Аллен Коверт;Мэттью Глэйв;Эллен Альбертини Дау;Анджела Фезерстоун;Алексис Аркетт;Кристина Пиклз;Джоди Телен
